#,Player,Team,GP,GS,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
93,I. MIKE,BAY,37,25,22:23,9.6,2.3,4.7,49.7%,1.4,3.3,41.8%,0.8,1.1,72.5%,0.9,3,3.9,1.5,0.8,1.1,0.4,0.2,2.9,1.9,9.2
94,T. WALKUP,OLY,32,32,24:10,4.9,1,2.2,46.4%,0.8,2.6,31.7%,0.5,0.6,75%,0.8,1.9,2.7,5.9,0.9,1.5,0,0.1,2.2,1.7,9.1
95,T. HEURTEL,ASV,25,6,19:28,9.2,2,4.5,45.5%,1.2,3.2,37%,1.5,1.8,80.4%,0.1,1.4,1.5,5.4,0.5,2.7,0,0.2,1.5,1.8,9
96,G. DECK,RMB,35,8,20:11,6.9,1.9,2.7,67.7%,0.6,1.7,36.1%,1.3,1.5,86.5%,0.9,2.6,3.6,1.2,0.4,0.7,0,0.2,1.5,1.5,8.9
97,B. BADIO,VBC,34,17,19:13,11.1,2,3.7,54.8%,1.9,5.2,35.8%,1.4,1.7,86%,0.6,1.6,2.2,2.1,0.6,1.6,0.1,0.2,2.1,2.1,8.9
98,J. MOTLEY,HTA,32,6,15:33,9,2.7,4.1,66.2%,0.6,1.2,51.3%,1.8,2.4,72.7%,0.8,1.7,2.5,1,0.3,1.2,0.2,0.2,2.5,2.5,8.9
99,S. HARRISON,ASV,29,18,18:55,7.8,2.4,4.7,51.1%,0.5,1.7,28%,1.5,2.3,63.2%,0.7,2.1,2.7,2,1.3,1.1,0.1,0.2,1.5,2.2,8.9
100,T. BLATT,MTA,38,15,19:25,7.1,0.4,1.1,40.5%,1.8,4.8,38.5%,0.7,0.9,76.5%,0.3,1.6,1.8,5.2,0.3,2.3,0,0.1,0.8,1.4,8.8
101,C. MALCOLM,HTA,38,31,25:17,6.9,1.7,3,57%,0.9,2.2,42.2%,0.7,1,75.7%,0.9,2.7,3.6,1,0.8,0.5,0.4,0.2,1.8,1.3,8.7
102,D. ALSTON JR.,VIR,37,28,22:25,10,1.8,3.7,47.1%,1.6,3.6,44.7%,1.7,1.9,90.1%,0.6,2.1,2.6,1.4,0.5,1.2,0.1,0.4,2.1,1.7,8.7
103,I. CORDINIER,EFS,30,20,24:12,9.4,2.1,3.9,54.3%,1,3.5,29.5%,2.1,2.5,84%,0.6,2.2,2.8,1.9,0.8,1.5,0.2,0.3,2.5,2.4,8.7
104,O. MOORE,VBC,38,16,18:44,8.4,2.3,4.4,52.1%,0.8,2.5,32.6%,1.4,1.9,72.2%,0.8,1.5,2.3,3.1,0.6,1.5,0.1,0.4,1.2,1.7,8.7
105,A. DOKOSSI,PBB,34,14,16:10,5,2.2,3.1,71.7%,0,0,0%,0.5,1.3,40.9%,2,3.5,5.5,1.6,1.2,1.8,0.1,0.2,2.4,1.3,8.6
106,J. CLARK III,MTA,37,24,19:43,9.5,2.4,4.7,50.3%,1.2,3.9,30.8%,1.2,1.5,80%,0.6,1.2,1.8,4.3,1.3,2,0.1,0.2,2.6,1.7,8.6
107,K. FARIED,PAO,29,12,14:09,6.4,2.6,4.2,61.2%,0,0,0%,1.3,1.9,66.1%,2,2.2,4.2,0.3,0.4,1,0.7,0.1,2,1.8,8.4
108,J. GRANT,PAO,36,26,23:39,7.2,1.8,3.5,52.4%,0.8,2.2,35.8%,1.1,1.3,81.2%,0.5,1,1.5,3.3,1,1,0,0.1,2.3,2.1,8.3
109,C. OKEKE,RMB,37,26,17:38,5.8,1,1.5,64.3%,1.2,3,39.6%,0.3,0.5,64.7%,1.4,2.5,3.9,0.8,0.5,0.3,0.5,0.1,0.8,0.5,8.2
110,T. WARD,OLY,32,13,19:51,7.1,1.9,3.5,55.9%,0.5,2.1,25%,1.7,2.3,70.7%,0.7,2.3,3,2.5,0.6,1.1,0.2,0.2,2.4,2.4,8.2
111,J. RHODEN,PBB,26,22,21:19,11.1,2.2,4.4,49.6%,1.8,4.5,39%,1.4,1.8,78.3%,0.8,2.2,2.9,1.2,1,1.9,0.4,0.5,2.5,1.8,8
112,D. WILLIS,PBB,28,7,16:13,5.8,1.2,2.1,55%,0.9,2.3,36.9%,0.9,1.1,80.6%,1.2,2.6,3.9,1.2,0.4,0.5,0.4,0.2,1.5,1.1,8
113,S. LEE,"OLY, EFS",27,3,16:46,8,2,3.7,53%,0.6,2,29.6%,2.3,3.1,75.9%,0.2,0.9,1.1,2.4,0.7,1.2,0,0.3,1.3,2.5,8
114,L. STEVENS,PBB,23,7,19:57,9.3,2.6,5.3,48%,0.9,2.1,41.7%,1.6,2,78.7%,1,2.4,3.3,0.8,0.3,1,0.6,0.7,2.3,2,8
115,M. LO,ZAL,37,5,18:22,7.5,1.4,2.7,51.5%,1.2,2.9,40.2%,1.2,1.5,80.4%,0.5,1.6,2.1,2.6,0.5,1.4,0.1,0.4,1.3,1.6,7.9
116,T. BIBEROVIC,FBB,36,31,23:51,10.7,1.8,3.4,50.8%,2,5.1,39.9%,1.1,1.1,95.1%,0.6,2.5,3.1,1.2,0.4,1.3,0.1,0.2,2.1,0.8,7.9
