Season;Rank;Player;Team;GP;GS;Min;PTS;2PM;2PA;2P%;3PM;3PA;3P%;FTM;FTA;FT%;OR;DR;TR;AST;STL;TO;BLK;BLKA;FC;FD;PIR
2017-18;123;A. KAVALIAUSKAS;ZAL;35;2;13:09;5.7;2.2;3.6;61.6%;0.0;0.0;0%;1.3;1.7;75.9%;1.0;1.5;2.6;0.8;0.3;0.8;0.2;0.4;3.0;1.7;5.1
2017-18;124;A. M'BAYE;AXM;30;10;17:39;6.1;1.2;2.3;54.4%;0.8;2.2;37.9%;1.1;1.4;79.1%;0.5;1.6;2.0;0.9;0.4;0.7;0.1;0.0;2.4;1.4;5.1
2017-18;125;D. DIEZ;UNI;23;6;13:34;4.2;1.1;1.9;60.5%;0.5;1.5;34.3%;0.3;0.4;80%;0.6;1.5;2.1;0.8;0.3;0.3;0.0;0.1;0.8;0.8;5.1
2017-18;126;M. KALNIETIS;AXM;20;3;16:17;4.5;0.8;2.2;35.6%;0.6;1.7;38.2%;1.0;1.0;90.5%;0.1;1.7;1.8;2.2;0.5;1.4;0.0;0.2;1.2;1.2;4.9
2017-18;127;A. VORONTSEVICH;CSK;30;9;15:02;4.7;0.8;1.6;52.1%;0.9;2.3;39.7%;0.4;0.5;78.6%;0.5;1.9;2.4;0.7;0.2;0.4;0.5;0.0;1.7;0.7;4.9
2017-18;128;H. THOMPSON;OLY;28;7;15:04;5.6;1.6;3.2;50%;0.5;1.8;26.5%;1.0;1.5;67.4%;0.9;1.8;2.7;0.9;0.6;0.6;0.1;0.3;1.8;1.1;4.9
2017-18;129;J. TAYLOR;RMB;34;23;20:33;5.9;1.2;2.6;47.2%;0.7;2.1;35.2%;1.2;1.8;70%;0.8;1.1;1.9;1.2;0.5;0.7;0.1;0.4;2.1;1.5;4.7
2017-18;130;M. LOJESKI;PAO;27;18;18:39;5.7;1.0;2.2;46.7%;1.1;2.4;45.5%;0.3;0.4;70%;0.5;1.9;2.4;0.7;0.3;0.6;0.1;0.1;1.6;0.4;4.6
2017-18;131;P. GARINO;BKN;23;7;15:06;4.5;1.3;2.4;54.5%;0.3;1.0;27.3%;1.1;1.3;83.9%;0.3;1.3;1.7;0.7;1.0;1.0;0.1;0.3;1.6;1.4;4.5
2017-18;132;L. LEKAVICIUS;PAO;31;3;12:40;3.9;0.8;1.8;46.4%;0.5;1.1;48.6%;0.5;0.6;89.5%;0.3;0.7;1.0;1.5;0.2;0.9;0.0;0.2;1.3;1.9;4.5
